"RegionID","RegionName","State","Metro","CountyName","SizeRank"
34278,"Thousand Oaks","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",257
27683,"Victorville","CA","Riverside-San Bernardino-Ontario","San Bernardino County",258
13594,"Roseville","CA","Sacramento--Roseville--Arden-Arcade","Placer County",259
7330,"Surprise","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",260
6155,"New Haven","CT","New Haven-Milford","New Haven County",261
11786,"Hamilton","OH","Cincinnati","Butler County",262
48293,"Waco","TX","Waco","McLennan County",263
27110,"Simi Valley","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",264
27239,"Stamford","CT","Bridgeport-Stamford-Norwalk","Fairfield County",265
13234,"Pearland","TX","Houston-The Woodlands-Sugar Land","Brazoria County",266
31388,"Elizabeth","NJ","New York-Newark-Jersey City","Union County",267
4351,"Denton","TX","Dallas-Fort Worth-Arlington","Denton County",268
40760,"Santa Fe","NM","Santa Fe","Santa Fe County",269
24822,"Gainesville","GA","Gainesville","Hall County",270
16726,"Allentown","PA","Allentown-Bethlehem-Easton","Lehigh County",271
46101,"Lake Charles","LA","Lake Charles","Calcasieu Parish",272
4810,"Frederick","MD","Washington-Arlington-Alexandria","Frederick County",273
5071,"Hartford","CT","Hartford-West Hartford-East Hartford","Hartford County",274
6103,"Murrieta","CA","Riverside-San Bernardino-Ontario","Riverside County",275
7386,"Temecula","CA","Riverside-San Bernardino-Ontario","Riverside County",276
11865,"Hemet","CA","Riverside-San Bernardino-Ontario","Riverside County",277
17882,"East Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",278
32238,"Joliet","IL","Chicago-Naperville-Elgin","Will County",279
34520,"Vallejo","CA","Vallejo-Fairfield","Solano County",280
13713,"Santa Clara","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",281
17551,"Concord","NC","Charlotte-Concord-Gastonia","Cabarrus County",282
30211,"Amherst","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",283
23534,"Athens","GA","Athens-Clarke County","Clarke County",284
4679,"Falls Church","VA","Washington-Arlington-Alexandria","Fairfax County",285
33136,"Norman","OK","Oklahoma City","Cleveland County",286
14667,"Wilmington","DE","Philadelphia-Camden-Wilmington","New Castle County",287
33024,"Nampa","ID","Boise City","Canyon County",288
16992,"Berkeley","CA","San Francisco-Oakland-Hayward","Alameda County",289
34781,"Westminster","CO","Denver-Aurora-Lakewood","Adams County",290
26791,"Rochester","MN","Rochester","Olmsted County",291
44655,"Clovis","CA","Fresno","Fresno County",292
27317,"Summerville","SC","Charleston-North Charleston","Dorchester County",293
41517,"Vista","CA","San Diego-Carlsbad","San Diego County",294
37596,"Broken Arrow","OK","Tulsa","Tulsa County",295
26751,"Richmond","CA","San Francisco-Oakland-Hayward","Contra Costa County",296
10181,"Arvada","CO","Denver-Aurora-Lakewood","Jefferson County",297
30840,"Charlottesville","VA","Charlottesville","Albemarle County",298
12038,"Independence","MO","Kansas City","Jackson County",299
14208,"Tuscaloosa","AL","Tuscaloosa","Tuscaloosa County",300
20071,"Provo","UT","Provo-Orem","Utah County",301
6172,"New Port Richey","FL","Tampa-St. Petersburg-Clearwater","Pasco County",302
7191,"Spartanburg","SC","Spartanburg","Spartanburg County",303
50950,"Bellingham","WA","Bellingham","Whatcom County",304
19307,"Melbourne","FL","Palm Bay-Melbourne-Titusville","Brevard County",305
38032,"Costa Mesa","CA","Los Angeles-Long Beach-Anaheim","Orange County",306
13943,"Sparks","NV","Reno","Washoe County",307
50962,"Bend","OR","Bend-Redmond","Deschutes County",308
51861,"El Monte","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",309
37965,"College Station","TX","College Station-Bryan","Brazos County",310
39767,"Miami Gardens","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",311
37863,"Chico","CA","Chico","Butte County",312
4406,"Downey","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",313
7453,"Tracy","CA","Stockton-Lodi","San Joaquin County",314
34543,"Ventura","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",315
6218,"North Charleston","SC","Charleston-North Charleston","Charleston County",316
39420,"Lewisville","TX","Dallas-Fort Worth-Arlington","Denton County",317
14542,"West Covina","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",318
17133,"Bowling Green","KY","Bowling Green","Warren County",319
41802,"Yakima","WA","Yakima","Yakima County",320
47322,"Redding","CA","Redding","Shasta County",321
